Identifier,Term,Category,Column,Original Text
1533946,Indians of North America,ProblemLCSH,subjects,"Indians of North America--Monuments--Photographs; Indians of North America--Art--Photographs; Malin, Millard F., 1891-1974--Works--Photographs; Sculptures--Photographs; Indigenous peoples--North America"
1398979,Navajo,ProblemLCSH,subjects,"Navajo Indians--Music--Photographs; Navajo Indians-Photographs; Salt Lake City (Utah)--Photographs; Olympic Winter Games (19th : 2002 : Salt Lake City, Utah)--Photographs; Indigenous peoples--North America"
962277,Indians of North America,ProblemLCSH,subjects,"Wounded Knee (S.D.)--History--Indian occupation, 1973--Photographs; Indians of North America; Indigenous peoples--North America"
2348627,Navajo,ProblemLCSH,subjects,Navajo Mountain (Utah and Ariz.)--Photographs; Colorado River (Colo.-Mexico)--Photographs
1498946,Discovery and exploration,ProblemLCSH,subjects,"Pueblo Indians--History--Art; Southwest, New--Discovery and exploration--Art; Indigenous peoples--North America"
995167,Navajo,ProblemLCSH,subjects,Horsemanship--Photographs; Sheepherding--Photographs; Navajo Indians--Photographs; Navajo Indian Reservation--Photographs; Indigenous peoples--North America
958790,Race,ProblemLCSH,subjects,"Thompson, Mickey, 1928-1988--Photographs; Thompson, Trudy--Photographs; Automobiles, Racing--Utah--Bonneville Salt Flats--Photographs; Bonneville Salt Flats (Utah); Bonneville Salt Flats Race, Utah--Photographs; Automobile racing--Utah--1960-1970--Photographs; Automobiles, Racing--Speed records--History; Automobile racing--Speed records--History; Antique and classic cars--Photographs"
998919,Mormon,ChangeHeadingLCSH,subjects,"Pioneer Day (Latter Day Saint history) (Mormon history--Photographs; Utah State Capitol (Salt Lake City, Utah)--Photographs"
1302623,Navajo,ProblemLCSH,subjects,Volcanic fields--Arizona--Apache County--Photographs; Volcanic fields--Navajo Indian Reservation--Photographs; Buttes--Arizona--Apache County--Photographs; Buttes--Navajo Indian Reservation--Photographs; Landforms--Arizona--Apache County--Photographs; Landforms--Navajo Indian Reservation--Photographs; Geology--Arizona--Apache County--Photographs; Navajo Indian Reservation--Photographs
995167,Navajo,ProblemLCSH,subjects,Horsemanship--Photographs; Sheepherding--Photographs; Navajo Indians--Photographs; Navajo Indian Reservation--Photographs; Indigenous peoples--North America
2364219,Mormon,ChangeHeadingLCSH,subjects,Mormon pioneers--Photographs; Pioneer Day (Mormon history)--Photographs; Parades--Utah--Salt Lake City--Photographs
2364219,Mormon pioneers,ChangeHeadingLCSH,subjects,Mormon pioneers--Photographs; Pioneer Day (Mormon history)--Photographs; Parades--Utah--Salt Lake City--Photographs
941713,"Japanese Americans--Evacuation and relocation, 1942-1945",ChangeHeadingLCSH,subjects,"Japanese Americans--Evacuation and relocation, 1942-1945--Photographs; Tule Lake Relocation Center--Photographs; Tule Lake Relocation Center--People--1940-1950; World War, 1939-1945--Concentration camps--California; Clothing & dress--Tule Lake Relocation Center--1940-1950"
941496,"Japanese Americans--Evacuation and relocation, 1942-1945",ChangeHeadingLCSH,subjects,"Japanese Americans--Evacuation and relocation, 1942-1945--Photographs; Tule Lake Relocation Center--Photographs; Tule Lake Relocation Center--People--1940-1950; World War, 1939-1945--Concentration camps--California; Agriculture--1940-1950"
941536,"Japanese Americans--Evacuation and relocation, 1942-1945",ChangeHeadingLCSH,subjects,"Japanese Americans--Evacuation and relocation, 1942-1945--Photographs; Tule Lake Relocation Center--Photographs; World War, 1939-1945--Concentration camps--California; Farming--California--Tule Lake--1940-1950; Agricultural laborers--California--Tule lake--1940-1950"
958469,Race,ProblemLCSH,subjects,"Cobb, John Rhodes, 1899-1952--Photographs; Automobiles, Racing--Utah--Bonneville Salt Flats--Photographs; Bonneville Salt Flats (Utah); Bonneville Salt Flats Race, Utah--Photographs; Automobile racing--Utah--1930-1940--Photographs; Automobiles, Racing--Speed records--History; Automobile racing--Speed records--History; Antique and classic cars--Photographs"
958790,Race,ProblemLCSH,subjects,"Thompson, Mickey, 1928-1988--Photographs; Thompson, Trudy--Photographs; Automobiles, Racing--Utah--Bonneville Salt Flats--Photographs; Bonneville Salt Flats (Utah); Bonneville Salt Flats Race, Utah--Photographs; Automobile racing--Utah--1960-1970--Photographs; Automobiles, Racing--Speed records--History; Automobile racing--Speed records--History; Antique and classic cars--Photographs"
998946,Mormon,ChangeHeadingLCSH,subjects,"Pioneer Day (Latter Day Saint history) (Mormon history----Photographs; Utah State Capitol (Salt Lake City, Utah)--Photographs"
998908,Mormon,ChangeHeadingLCSH,subjects,"Pioneer Day (Latter Day Saint history) (Mormon history----Photographs; Utah State Capitol (Salt Lake City, Utah)--Photographs"
998938,Mormon,ChangeHeadingLCSH,subjects,"Pioneer Day (Mormon history); Days of '47; Holidays; Local holidays; Theatrical sets; Costumes (character dress); Thrones; McKay, Calleen Alice Robinson, 1928-2005; Women; Pioneer Days Royalty; Centennial Queens; Beauty contestants"
998919,Mormon,ChangeHeadingLCSH,subjects,"Pioneer Day (Latter Day Saint history) (Mormon history--Photographs; Utah State Capitol (Salt Lake City, Utah)--Photographs"
2292054,Race,ProblemLCSH,subjects,"Civil rights movements--United States--History--20th century; Civil rights--Utah; Race discrimination--Religious aspects--Latter Day Saint churches; African Americans; Racism against Black people; Nabors, Charles James,1934-1986; African American scientists"
1396789,Hispanic Americans,ProblemLCSH,subjects,Hispanic Americans--Utah; Latin Americans--Utah
1396777,Indians of North America,ProblemLCSH,subjects,"Indians--Legal status, laws, etc.; Indians of North America--Legal status, laws, etc.--Canada; Indians of North America--Legal status, laws, etc.--United States; Discrimination; Indians--Social conditions; Indigenous peoples--North America"
1049391,Nephites,ChangeHeadingLCSH,subjects,Nephites; Folklore--Utah; Latter Day Saints--Utah--History--Anecdotes
1006680,Mormon,ChangeHeadingLCSH,subjects,Church of Jesus Christ of Latter-day Saints--History; Utah--History; Mormon converts
1006680,Mormon converts,ChangeHeadingLCSH,subjects,Church of Jesus Christ of Latter-day Saints--History; Utah--History; Mormon converts
1470940,Victims,ProblemLCSH,subjects,Nuclear weapons Testing; Nuclear weapons--United States--Testing; Nuclear weapons testing victims; Nuclear weapons--United States--Testing; Radioactive fallout
818891,Mormon,ChangeHeadingLCSH,subjects,"Loewenberg, Peter, 1933- --Interviews; Brodie, Fawn McKay, 1915-1981--Biography; Latter Day Saints--Biography; Mormon scholars--Biography; University of California, Los Angeles--Faculty--Biography"
818891,Mormon scholars,ChangeHeadingLCSH,subjects,"Loewenberg, Peter, 1933- --Interviews; Brodie, Fawn McKay, 1915-1981--Biography; Latter Day Saints--Biography; Mormon scholars--Biography; University of California, Los Angeles--Faculty--Biography"
1396789,Hispanic Americans,ProblemLCSH,subjects,Hispanic Americans--Utah; Latin Americans--Utah
893658,Race,ProblemLCSH,subjects,"African Americans--Utah--Interviews; Henry, Alberta H., 1920-2005--Interviews; African Americans--Civil rights--Utah; Utah--Race relations"
893658,Race relations,ProblemLCSH,subjects,"African Americans--Utah--Interviews; Henry, Alberta H., 1920-2005--Interviews; African Americans--Civil rights--Utah; Utah--Race relations"
958364,Race,ProblemLCSH,subjects,"Cobb, John Rhodes, 1899-1952--Photographs; Automobiles, Racing--Utah--Bonneville Salt Flats--Photographs; Bonneville Salt Flats (Utah); Bonneville Salt Flats Race, Utah--Photographs; Automobile racing--Utah--1930-1940--Photographs; Automobiles, Racing--Speed records--History; Automobile racing--Speed records--History; Antique and classic cars--Photographs"
1739616,Victims,ProblemLCSH,subjects,Murder victims--Photographs
