Identifier,Term,Category,Column,Original Text
337805,aborigines,RaceTerms,title,Aborigines of Taiwan [001]
332408,aboriginal,RaceTerms,title,"Ainu (Japan's aboriginal people), Hokkaido, Japan [30]"
332408,wife,GenderTerms,description,"Photo of Japan's Aboriginal people (Chief, his wife and an unidentified person), Hokkaido, Japan"
332408,aboriginal,RaceTerms,description,"Photo of Japan's Aboriginal people (Chief, his wife and an unidentified person), Hokkaido, Japan"
335588,gentleman,Aggrandizement,description,"Photo of a Japanese gentleman holding a hand fan, Tokyo, Japan"
330740,dwarf,Disability,description,"Photograph of block print: ""A Potted Dwarf Pine with a Basin and a Towel on a Rack - Horse Talisman (Mayoke)"", also known as ""A surimono still-life composition"", (from the series A Set of Horses (Umazukushi), 1822) by Katsushika Hokusai (Japanese, 1760-1849), (approximate size, may vary slightly) 206 mm x 183 mm (8.11 in. x 7.20 in.)"
1533946,indians,RaceTerms,title,Busts of Ute Indians [1]
1533946,indian,RaceTerms,description,"Black-and-white photograph of a bust of an American Indian by Millard F. Malin, from a set commissioned by the State of Utah in 1934.  His models were Ute Indians in the Uinta Basin."
1533946,indians,RaceTerms,description,"Black-and-white photograph of a bust of an American Indian by Millard F. Malin, from a set commissioned by the State of Utah in 1934.  His models were Ute Indians in the Uinta Basin."
962277,indian,RaceTerms,description,"Photo taken at a court hearing or de-briefing following the American Indian Movement takeover at Wounded Knee, South Dakota, in 1973."
1498946,indian,RaceTerms,title,Spanish at Indian pueblo
1498946,indian,RaceTerms,description,"Photograph of an illustration in an unidentified publication, artist's rendition of a party of Spanish horsemen at an Indian pueblo, perhaps in New Mexico."
995167,Native Americans,RaceTerms,title,Native Americans herding sheep on horseback
995167,indians,RaceTerms,description,Photograph of Navajo Indians on horseback herding sheep; unidentified location but probably in Navajo Reservation
947066,squaw,RaceTerms,description,"Photo of a large wood sculpture at Palisades Tahoe (previously Squaw Valley) in Olympic Valley, California, depicting skiers. It was carved in 1995 "
958790,wife,GenderTerms,title,"Mickey Thompson inside his racing vehicle the ""Challenger"" getting a hug from his wife Trudy Thompson on the Bonneville Salt Flats Raceway in 1960."
958790,wife,GenderTerms,description,"Photo of Mickey Thompson inside his racing vehicle, the ""Challenger,"" getting a kiss from his wife, Trudy Thompson, while crew members stand by on the Bonneville Salt Flats Raceway in 1960"
998919,pioneer,Aggrandizement,title,"1947 Centennial Coronation of Pioneer Days Queen Calleen Alice Robinson seated in Vern Adix's covered wagon throne in the Utah State Capitol rotunda, Salt Lake City"
998919,pioneer,Aggrandizement,description,"Scan of 35mm slide of 1947 Centennial Coronation of Pioneer Days Queen Calleen Alice Robinson seated in Vern Adix's covered wagon throne in the Utah State Capitol rotunda, Salt Lake City"
1302623,indian,RaceTerms,title,"Basalt-capped mesa on Dolores (Triassic), 6Â± miles south of Beddehoche (Indian Wells), Ariz., 1909 (photo G-67)"
1302623,indian,RaceTerms,description,"Photograph of Black Butte, a basalt-capped mesa south of Indian Wells. From Herbert E. Gregory Book 2: Navajo-Hopi, San Juan 1909"
1302623,indian,RaceTerms,spatial coverage,"Black Butte (Navajo County, Ariz.); Five Buttes (Ariz.); Navajo County (Ariz.); Navajo Indian Reservation; Arizona"
995167,Native Americans,RaceTerms,title,Native Americans herding sheep on horseback
995167,indians,RaceTerms,description,Photograph of Navajo Indians on horseback herding sheep; unidentified location but probably in Navajo Reservation
995167,indian,RaceTerms,spatial coverage,Navajo Indian Reservation
2364219,pioneer,Aggrandizement,title,"Pioneer Day parade, 1880 (Carter, photo)"
2364219,pioneer,Aggrandizement,description,"Black and white photograph of the Salt Lake Pioneer Day Parade, July 24, 1880."
941713,evacuees,JapaneseincarcerationTerm,title,Newly arrived evacuees standing behind their baggage.
941713,evacuees,JapaneseincarcerationTerm,description,Photo of two newly arrived evacuees standing by a truck behind their baggage at the Tule Lake Relocation Center in California during World War II
941713,relocation,JapaneseincarcerationTerm,description,Photo of two newly arrived evacuees standing by a truck behind their baggage at the Tule Lake Relocation Center in California during World War II
941713,relocation center,JapaneseincarcerationTerm,description,Photo of two newly arrived evacuees standing by a truck behind their baggage at the Tule Lake Relocation Center in California during World War II
941713,relocation,JapaneseincarcerationTerm,description,Photo of two newly arrived evacuees standing by a truck behind their baggage at the Tule Lake Relocation Center in California during World War II
941713,relocation,JapaneseincarcerationTerm,collection name,P0144 Japanese American Relocation Photograph Collection
941713,relocation,JapaneseincarcerationTerm,collection name,P0144 Japanese American Relocation Photograph Collection
941496,evacuees,JapaneseincarcerationTerm,title,Evacuees cleaning vegetables in the packing shed.
941496,evacuees,JapaneseincarcerationTerm,description,Photo of evacuees cleaning vegetables in the packing shed at the Tule Lake Relocation Center in California during World War II
941496,relocation,JapaneseincarcerationTerm,description,Photo of evacuees cleaning vegetables in the packing shed at the Tule Lake Relocation Center in California during World War II
941496,relocation center,JapaneseincarcerationTerm,description,Photo of evacuees cleaning vegetables in the packing shed at the Tule Lake Relocation Center in California during World War II
941496,relocation,JapaneseincarcerationTerm,description,Photo of evacuees cleaning vegetables in the packing shed at the Tule Lake Relocation Center in California during World War II
941496,relocation,JapaneseincarcerationTerm,collection name,P0144 Japanese Relocation Photograph Collection
