term,category
acclaimed,Aggrandizement
ambitious,Aggrandizement
celebrated,Aggrandizement
distinguished,Aggrandizement
eminent,Aggrandizement
esteemed,Aggrandizement
expert,Aggrandizement
famous,Aggrandizement
father of,Aggrandizement
foremost,Aggrandizement
founding father,Aggrandizement
genius,Aggrandizement
gentleman,Aggrandizement
important,Aggrandizement
influential,Aggrandizement
man of letters,Aggrandizement
masterpiece,Aggrandizement
notable,Aggrandizement
patriot,Aggrandizement
pioneer,Aggrandizement
plantation owner,Aggrandizement
preeminent,Aggrandizement
prestigious,Aggrandizement
prolific,Aggrandizement
prominent,Aggrandizement
renowned,Aggrandizement
respected,Aggrandizement
revolutionary,Aggrandizement
seminal,Aggrandizement
successful,Aggrandizement
wealthy,Aggrandizement
able-bodied,Disability
birth defect,Disability
confined to a wheelchair,Disability
cripple,Disability
crippled,Disability
deaf-mute,Disability
deformed,Disability
disabled person,Disability
dwarf,Disability
epileptic,Disability
handicap,Disability
handicapped,Disability
invalid,Disability
lame,Disability
midget,Disability
paraplegic,Disability
physically challenged,Disability
the deaf,Disability
the disabled,Disability
wheelchair-bound,Disability
matriarch,GenderTerms
miss,GenderTerms
mistress,GenderTerms
mrs.,GenderTerms
muse,GenderTerms
patriarch,GenderTerms
spouse,GenderTerms
wife,GenderTerms
biologically female,LGBTQ
biologically male,LGBTQ
dyke,LGBTQ
fag,LGBTQ
gay lifestyle,LGBTQ
gays,LGBTQ
homosexual,LGBTQ
homosexuality,LGBTQ
lesbianism,LGBTQ
sexual minorities,LGBTQ
sexual minority,LGBTQ
sexual preference,LGBTQ
tranny,LGBTQ
transvestite,LGBTQ
brain damaged,MentalIllness
committed suicide,MentalIllness
crazy,MentalIllness
dumb,MentalIllness
emotionally disturbed,MentalIllness
insane,MentalIllness
retarded,MentalIllness
slow learner,MentalIllness
special needs,MentalIllness
stupid,MentalIllness
Antifa (Organisation),ProblematicLCSH 
"Argentina--History--Dirty War,Problematic LCSH 
Asian flu""",ProblematicLCSH 
Asperger's syndrome,ProblematicLCSH 
B.C. and A.D.,ProblematicLCSH 
Berbers,ProblematicLCSH 
Bildungsromans,ProblematicLCSH 
Boat people,ProblematicLCSH 
Bossiness,ProblematicLCSH 
"Brazil--History--Revolution,Problematic LCSH 
Cerebral palsied""",ProblematicLCSH 
Child pornography,ProblematicLCSH 
Child pornography,ProblematicLCSH 
Children of egg donors,ProblematicLCSH 
Children of sperm donors,ProblematicLCSH 
Climatic changes,ProblematicLCSH 
Common fallacies,ProblematicLCSH 
Criminals,ProblematicLCSH 
Cross-dressing,ProblematicLCSH 
Crystalline lens,ProblematicLCSH 
Defloration,ProblematicLCSH 
Deviant behavior,ProblematicLCSH 
Discovery and exploration,ProblematicLCSH 
Discrimination against overweight persons,ProblematicLCSH 
Domestic relations,ProblematicLCSH 
Dwarfs (Persons),ProblematicLCSH 
East Indians,ProblematicLCSH 
Eskimos,ProblematicLCSH 
Ethnic arts,ProblematicLCSH 
Fetishism,ProblematicLCSH 
Future life,ProblematicLCSH 
Gender nonconforming people,ProblematicLCSH 
